,person_id,source,chapter_source,page_source,person_name,target,chapter_target,page_target,id_source2,id_target2
84,18,55,12,455,Sam,56,12,455,55,56
85,18,56,12,455,Sam,67,13,456,56,67
86,18,67,13,456,Sam,32,13,456,67,32
87,18,32,13,456,Sam,53,14,456,32,53
88,18,53,14,456,Sam,66,14,459,53,66
89,18,66,14,459,Sam,114,14,459,66,114
90,18,114,14,459,Sam,57,14,460,114,57
91,18,57,14,460,Sam,27,15,460,57,27
92,18,27,15,460,Sam,58,16,,27,58
93,18,58,16,,Sam,59,16,,58,59
94,18,59,16,,Sam,90,16,,59,90
95,18,90,16,,Sam,104,16,,90,104
96,18,104,16,,Sam,105,16,,104,105
97,18,105,16,,Sam,50,16,461,105,50
98,18,50,16,461,Sam,144,17,,50,144
99,19,122,0,,Eyvind,69,3,,122,69
100,19,69,3,,Eyvind,68,14,456,69,68
101,19,68,14,456,Eyvind,53,14,456,68,53
102,19,53,14,456,Eyvind,115,14,458,53,115
103,19,115,14,458,Eyvind,28,14,459,115,28
104,19,28,14,459,Eyvind,31,14,459,28,31
105,19,31,14,459,Eyvind,57,14,460,31,57
106,19,57,14,460,Eyvind,145,17,,57,145
107,21,138,0,,king of Greeks,69,3,,138,69
108,21,69,3,,king of Greeks,109,12,455,69,109
109,21,109,12,455,king of Greeks,161,17,,109,161
110,22,130,0,,Freyfaxi,11,3,,130,11
111,22,11,3,,Freyfaxi,79,5,,11,79
112,22,79,5,,Freyfaxi,20,5,442,79,20
113,22,20,5,442,Freyfaxi,91,12,454,20,91
114,22,91,12,454,Freyfaxi,106,12,454,91,106
115,22,106,12,454,Freyfaxi,153,17,,106,153
116,23,123,0,,Thorbjorn,74,4,,123,74
117,23,74,4,,Thorbjorn,73,4,440,74,73
118,23,73,4,440,Thorbjorn,75,6,443,73,75
119,23,75,6,443,Thorbjorn,26,6,443,75,26
120,23,26,6,443,Thorbjorn,72,6,444,26,72
121,23,72,6,444,Thorbjorn,48,6,444,72,48
122,23,48,6,444,Thorbjorn,76,9,,48,76
123,23,76,9,,Thorbjorn,56,12,455,76,56
124,23,56,12,455,Thorbjorn,146,17,,56,146
125,24,124,0,,Einar,81,4,,124,81
126,24,81,4,,Einar,82,4,,81,82
127,24,82,4,,Einar,74,4,,82,74
128,24,74,4,,Einar,77,4,440,74,77
129,24,77,4,440,Einar,73,4,440,77,73
130,24,73,4,440,Einar,78,5,,73,78
131,24,78,5,,Einar,79,5,,78,79
132,24,79,5,,Einar,21,5,,79,21
133,24,21,5,,Einar,29,5,,21,29
134,24,29,5,,Einar,33,5,,29,33
135,24,33,5,,Einar,80,5,441,33,80
136,24,80,5,441,Einar,30,5,442,80,30
137,24,30,5,442,Einar,147,17,,30,147
138,25,139,0,,shepherds,78,5,,139,78
139,25,78,5,,shepherds,80,5,441,78,80
140,25,80,5,441,shepherds,162,17,,80,162
141,26,125,0,,mealtime servant,83,5,,125,83
142,26,83,5,,mealtime servant,16,5,,83,16
143,26,16,5,,mealtime servant,17,5,442,16,17
144,26,17,5,442,mealtime servant,148,17,,17,148
145,29,126,0,,Thorkel,86,8,,126,86
146,29,86,8,,Thorkel,49,8,,86,49
147,29,49,8,,Thorkel,87,9,,49,87
148,29,87,9,,Thorkel,93,9,,87,93
149,29,93,9,,Thorkel,100,9,,93,100
150,29,100,9,,Thorkel,92,11,452,100,92
151,29,92,11,452,Thorkel,94,11,452,92,94
152,29,94,11,452,Thorkel,18,11,452,94,18
153,29,18,11,452,Thorkel,88,11,454,18,88
154,29,88,11,454,Thorkel,89,12,454,88,89
155,29,89,12,454,Thorkel,91,12,454,89,91
156,29,91,12,454,Thorkel,55,12,455,91,55
157,29,55,12,455,Thorkel,90,16,,55,90
158,29,90,16,,Thorkel,58,16,,90,58
159,29,58,16,,Thorkel,149,17,,58,149
160,31,127,0,,Thorgeir,100,9,,127,100
161,31,100,9,,Thorgeir,76,9,,100,76
162,31,76,9,,Thorgeir,93,9,,76,93
163,31,93,9,,Thorgeir,101,10,451,93,101
164,31,101,10,451,Thorgeir,99,10,452,101,99
165,31,99,10,452,Thorgeir,51,10,452,99,51
166,31,51,10,452,Thorgeir,52,10,452,51,52
167,31,52,10,452,Thorgeir,102,11,453,52,102
168,31,102,11,453,Thorgeir,107,11,453,102,107
169,31,107,11,453,Thorgeir,108,11,453,107,108
170,31,108,11,453,Thorgeir,103,12,454,108,103
171,31,103,12,454,Thorgeir,106,12,454,103,106
172,31,106,12,454,Thorgeir,109,12,455,106,109
173,31,109,12,455,Thorgeir,54,12,455,109,54
174,31,54,12,455,Thorgeir,104,16,,54,104
175,31,104,16,,Thorgeir,105,16,,104,105
176,31,105,16,,Thorgeir,59,16,,105,59
177,31,59,16,,Thorgeir,50,16,461,59,50
178,31,50,16,461,Thorgeir,150,17,,50,150
179,35,128,0,,Eyvind's servant boy,68,14,456,128,68
180,35,68,14,456,Eyvind's servant boy,115,14,458,68,115
181,35,115,14,458,Eyvind's servant boy,114,14,459,115,114
182,35,114,14,459,Eyvind's servant boy,151,17,,114,151
183,36,129,0,,Servant woman,116,14,457,129,116
184,36,116,14,457,Servant woman,152,17,,116,152
185,37,134,0,,Sighvat,22,14,457,134,22
186,37,22,14,457,Sighvat,157,17,,22,157
187,38,135,0,,Snorri,23,14,457,135,23
188,38,23,14,457,Snorri,158,17,,23,158
189,41,136,0,,Thord,24,14,457,136,24
190,41,24,14,457,Thord,159,17,,24,159
191,42,137,0,,Halli,25,14,457,137,25
192,42,25,14,457,Halli,160,17,,25,160
