Number of Records 	action description   	action 	action_description   	chapter 	order_id 	page 	source 	target
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	14      	65       	459  	9      	19
1                 	summons              	15     	summons              	14      	66       	457  	9      	37
1                 	summons              	15     	summons              	14      	67       	457  	9      	38
1                 	summons              	15     	summons              	14      	68       	457  	9      	41
1                 	summons              	15     	summons              	14      	69       	457  	9      	42
1                 	provide information  	10     	provide information  	14      	70       	458  	35     	19
1                 	request assistance   	8      	request assistance   	14      	71       	459  	35     	18
1                 	hostility_lethal     	22     	hostility_lethal     	14      	72       	459  	9      	19
1                 	hostility_non-lethal 	21     	hostility_non-lethal 	14      	73       	459  	18     	9
1                 	challenge            	20     	challenge            	15      	74       	460  	9      	18
1                 	request assistance   	8      	request assistance   	16      	75       	461  	18     	31
1                 	giftgiving           	13     	giftgiving           	16      	76       	     	18     	29
1                 	giftgiving           	13     	giftgiving           	16      	77       	     	18     	31
1                 	provide information  	10     	provide information  	16      	78       	     	31     	18
1                 	giftgiving           	13     	giftgiving           	16      	79       	     	29     	18
1                 	giftgiving           	13     	giftgiving           	16      	80       	     	31     	18
1                 	inheritance          	5      	inheritance          	16      	81       	     	9      	13
1                 	inheritance          	5      	inheritance          	16      	82       	     	9      	14
1                 	death_neutral        	24     	death_neutral        	16      	83       	462  	9      	9
1                 	hostility_lethal     	22     	hostility_lethal     	12      	999      	455  	31     	21
1                 	marriage             	2      	                     	2       	         	     	12     	9
1                 	descent              	1      	                     	1       	         	     	2      	3
1                 	descent              	1      	                     	8       	         	447  	34     	33
1                 	marriage             	2      	                     	1       	         	     	8      	7
1                 	descent              	1      	                     	1       	         	     	1      	2
1                 	descent              	1      	                     	8       	         	     	31     	32
1                 	descent              	1      	                     	1       	         	     	9      	8
1                 	descent              	1      	                     	2       	         	     	13     	9
1                 	descent              	1      	                     	1       	         	     	3      	4
1                 	descent              	1      	                     	3       	         	     	16     	19
1                 	descent              	1      	                     	2       	         	     	14     	12
1                 	descent              	1      	                     	1       	         	     	5      	6
1                 	descent              	1      	                     	8       	         	     	31     	30
1                 	sibling              	0      	                     	8       	         	     	29     	32
1                 	marriage             	2      	                     	3       	         	     	18     	20
1                 	sibling              	0      	                     	8       	         	     	31     	29
1                 	descent              	1      	                     	2       	         	     	14     	9
1                 	descent              	1      	                     	8       	         	446  	30     	29
1                 	sibling              	0      	                     	8       	         	     	32     	31
1                 	sibling              	0      	                     	8       	         	440  	23     	16
1                 	sibling              	0      	                     	8       	         	     	29     	31
1                 	descent              	1      	                     	1       	         	     	9      	7
1                 	marriage             	2      	                     	2       	         	     	9      	12
1                 	descent              	1      	                     	4       	         	     	23     	24
1                 	marriage             	2      	                     	8       	         	447  	32     	33
1                 	sibling              	0      	                     	8       	         	     	32     	29
1                 	sibling              	0      	                     	8       	         	440  	16     	23
1                 	descent              	1      	                     	1       	         	     	4      	5
1                 	descent              	1      	                     	3       	         	     	16     	18
1                 	marriage             	2      	                     	3       	         	     	16     	17
1                 	marriage             	2      	                     	1       	         	     	7      	8
1                 	descent              	1      	                     	2       	         	     	13     	12
